scenario_id,encounter_requested,encounter_observed,role,cas,cas_name,dcpa_target_m,tcpa_target_s,own_speed_kn,tgt_speed_kn,own_vessel,tgt_vessel,tgt_status,visibility,initial_range_m,relative_bearing_deg,tgt_heading_deg,min_dist_m,min_intrusion,safe,domain_respected,collision,excess_path_pct,progress_loss_pct,cross_track_m,heading_changes,total_alteration_deg,crossed_ahead,encounter,starboard_alteration,substantial_action,early_action,no_cross_ahead,stand_on_held,compliance
crossing_0079,crossing,crossing,give_way,no_action,No action (baseline),974.8578263001518,1608.089465552124,9.694689106030335,12.586507302249583,vlcc,coastal_tanker,power_driven,good,8355.768796750372,72.57515186174228,308.4570493173039,974.9076834819018,0.9223822097986385,True,False,False,7.913225586111504e-13,-7.913225586111504e-13,0.0,0,0.0,False,crossing,0.0,0.0,0.0,1.0,,0.25
crossing_0079,crossing,crossing,give_way,rule_based,Rule-based COLREGS,974.8578263001518,1608.089465552124,9.694689106030335,12.586507302249583,vlcc,coastal_tanker,power_driven,good,8355.768796750372,72.57515186174228,308.4570493173039,974.9076834819018,0.9223822097986385,True,False,False,7.913225586111504e-13,-7.913225586111504e-13,0.0,0,0.0,False,crossing,0.0,0.0,0.0,1.0,,0.25
crossing_0079,crossing,crossing,give_way,velocity_obstacle,Velocity obstacle,974.8578263001518,1608.089465552124,9.694689106030335,12.586507302249583,vlcc,coastal_tanker,power_driven,good,8355.768796750372,72.57515186174228,308.4570493173039,974.9076834819018,0.9223822097986385,True,False,False,7.913225586111504e-13,-7.913225586111504e-13,0.0,0,0.0,False,crossing,0.0,0.0,0.0,1.0,,0.25
crossing_0079,crossing,crossing,give_way,mpc,MPC,974.8578263001518,1608.089465552124,9.694689106030335,12.586507302249583,vlcc,coastal_tanker,power_driven,good,8355.768796750372,72.57515186174228,308.4570493173039,974.9076834819018,0.9223822097986385,True,False,False,7.913225586111504e-13,-7.913225586111504e-13,0.0,0,0.0,False,crossing,0.0,0.0,0.0,1.0,,0.25
crossing_0080,crossing,crossing,stand_on,no_action,No action (baseline),599.1349683482662,1452.71319656566,10.55935085313019,15.438691187614996,vlcc,vlcc,power_driven,good,14124.529198712447,-52.397896794691455,91.17819225889924,599.5466484711771,0.6982579106277865,False,False,False,1.080472205088411e-12,-1.080472205088411e-12,0.0,0,0.0,False,crossing,,,,,1.0,1.0
crossing_0080,crossing,crossing,stand_on,rule_based,Rule-based COLREGS,599.1349683482662,1452.71319656566,10.55935085313019,15.438691187614996,vlcc,vlcc,power_driven,good,14124.529198712447,-52.397896794691455,91.17819225889924,613.1607415080243,0.7848042627682641,False,False,False,-3.081627735739122,4.915078959443993,1235.9903202056782,115,39.648096703818084,False,crossing,,,,,1.0,1.0
crossing_0080,crossing,crossing,stand_on,velocity_obstacle,Velocity obstacle,599.1349683482662,1452.71319656566,10.55935085313019,15.438691187614996,vlcc,vlcc,power_driven,good,14124.529198712447,-52.397896794691455,91.17819225889924,1092.2574910365126,1.2830342476291894,True,True,False,-0.285351293911468,0.5433457321551791,722.8395790911815,26,11.649072814139846,False,crossing,,,,,0.0,0.0
crossing_0080,crossing,crossing,stand_on,mpc,MPC,599.1349683482662,1452.71319656566,10.55935085313019,15.438691187614996,vlcc,vlcc,power_driven,good,14124.529198712447,-52.397896794691455,91.17819225889924,1037.288278983342,1.2081043343172129,True,True,False,-0.7153861222607739,0.9034777236408625,516.761661324447,37,11.649072814139846,False,crossing,,,,,0.0,0.0
crossing_0081,crossing,crossing,give_way,no_action,No action (baseline),905.2102387995425,1270.4821871533677,10.165890421535611,15.0394275745311,coastal_tanker,handysize_bulker,power_driven,good,14718.309274525456,29.682575031403005,234.9371994131549,905.2274092045152,3.923020069178365,False,True,False,1.3351390325500254e-12,-1.3351390325500254e-12,0.0,0,0.0,False,crossing,0.0,0.0,0.0,1.0,,0.25
crossing_0081,crossing,crossing,give_way,rule_based,Rule-based COLREGS,905.2102387995425,1270.4821871533677,10.165890421535611,15.0394275745311,coastal_tanker,handysize_bulker,power_driven,good,14718.309274525456,29.682575031403005,234.9371994131549,3181.4221571293206,14.161245779735108,True,True,False,-0.2706872827332005,3.951943896480557,2338.084678702081,54,34.9999986692156,False,crossing,1.0,1.0,1.0,1.0,,1.0
